,index,State,Education,EmploymentStatus,Marital Status,Gender,Customer Lifetime Value,Number of Open Complaints,Months Since Policy Inception,Monthly Premium Auto,Location Code
208,289,50,5,10,3,10,5035.744643,0,39,63,2
209,290,20,1,10,3,20,9027.867218,1,75,112,3
210,291,30,3,10,3,10,7288.884849,0,30,91,2
211,292,20,2,10,3,10,18042.47942,0,35,225,1
212,294,20,3,30,3,20,9102.267849,0,6,118,1
213,295,10,4,10,1,10,2540.407726,0,77,64,1
214,296,30,5,10,3,10,12941.89193,1,49,110,3
215,298,10,5,10,3,10,5720.765064,0,60,72,3
216,300,30,5,10,3,10,2636.97773,0,27,67,3
217,301,40,1,10,3,10,5395.831967,0,69,68,1
218,303,50,5,10,3,20,31161.74523,0,65,112,1
219,307,20,5,10,1,10,10272.6082,0,28,132,2
220,308,20,1,10,2,20,4376.363592,0,63,111,1
221,309,30,1,10,3,20,5318.89664,0,0,67,3
222,310,20,1,10,3,10,4719.762191,1,48,61,1
223,311,20,3,10,3,20,4428.031583,0,62,110,2
224,312,30,3,10,3,10,5879.176092,0,19,73,1
225,313,20,4,10,3,20,9416.908485,0,47,116,2
226,314,20,2,10,2,20,8288.155579,2,97,106,3
227,316,20,5,10,3,20,4719.450052,4,20,121,1
228,317,30,1,10,3,20,3903.474784,0,75,98,3
229,318,30,1,10,1,20,5457.259678,0,14,139,3
230,319,30,2,10,3,20,2725.356404,1,70,69,1
231,320,10,5,10,3,20,4433.97368,0,42,110,1
232,321,10,4,10,3,20,5332.462694,0,30,66,2
233,324,30,1,10,3,10,9587.33234,0,31,80,3
234,327,40,1,10,3,20,2567.151468,0,75,65,1
235,328,20,5,10,2,20,2650.622781,0,65,68,2
236,329,30,1,10,1,10,11264.36334,0,82,98,3
237,332,30,5,10,2,20,2834.646235,0,47,71,3
238,334,10,5,10,3,20,5536.386959,1,42,70,3
239,336,30,5,10,3,10,8082.880956,0,5,67,3
240,337,30,1,10,3,10,5254.734278,1,49,67,1
241,339,30,5,10,3,10,3034.646997,0,14,76,1
242,341,30,3,10,3,10,18211.14319,0,97,154,3
243,344,30,3,10,1,20,5595.389905,0,29,71,3
244,346,20,3,40,3,10,5385.853211,0,69,71,3
245,347,50,2,30,2,10,4718.558501,0,29,64,2
246,348,40,1,10,3,20,9422.567923,3,17,79,1
247,349,20,5,10,3,20,3605.860265,0,61,92,3
248,350,30,5,30,3,20,7762.590564,2,77,106,1
249,351,10,5,10,3,20,23444.90045,2,32,74,2
250,353,50,2,10,3,20,5123.170887,0,20,63,1
251,355,30,3,10,3,10,2969.593296,0,28,74,3
252,356,20,2,10,2,20,4363.124641,3,36,109,2
253,358,40,5,10,1,20,5272.191556,0,95,66,3
254,359,30,4,10,3,10,5509.895664,1,67,69,3
255,363,20,1,40,1,10,2453.570794,0,92,69,3
256,364,30,3,40,3,10,5075.66267,0,90,65,3
257,365,10,1,10,2,10,3214.979402,0,62,80,3
258,366,30,5,10,1,20,12275.34309,0,86,156,2
259,367,30,5,40,3,20,2722.210707,0,70,71,3
260,368,20,1,10,3,20,2457.440923,0,73,62,1
261,369,20,2,10,3,20,3554.845264,0,83,88,1
262,370,30,1,10,3,10,4929.549699,0,52,63,3
263,372,10,1,30,1,10,4276.915328,3,53,68,3
264,373,30,1,10,2,20,33473.34946,0,95,106,3
265,374,20,2,10,3,20,5960.581363,0,39,74,1
266,375,10,5,10,3,10,44795.46942,0,62,126,1
267,376,30,3,30,3,20,3832.118106,0,7,100,3
268,377,30,1,10,3,20,6837.932624,0,21,171,3
269,379,30,5,10,2,20,3096.511217,0,28,79,3
270,380,10,5,10,3,10,3589.710715,0,2,90,2
271,381,10,1,10,3,20,2582.408525,0,68,64,2
272,382,50,5,10,3,20,2487.729726,0,27,62,3
273,383,10,5,10,3,20,13575.67599,1,79,115,3
274,384,50,4,10,3,10,4685.504251,0,81,116,3
275,385,20,5,10,1,20,28685.82785,0,23,104,3
276,386,50,3,10,3,20,2764.032126,4,54,72,2
277,387,20,1,30,1,10,6183.111464,0,20,85,2
278,389,30,2,10,1,20,18929.3306,0,61,68,1
279,390,30,2,10,3,10,5553.295758,0,81,69,2
280,391,30,1,10,3,10,5011.259184,0,71,63,1
281,394,50,1,10,2,20,8709.845263,0,47,111,1
282,395,20,3,10,2,10,7484.310483,0,98,96,3
283,396,20,1,10,1,10,2613.023132,0,37,67,1
284,397,10,1,10,3,20,9080.639651,0,67,114,2
285,398,40,3,10,1,20,13770.97618,0,21,116,3
286,399,20,3,10,2,10,2876.822941,0,78,73,3
287,400,50,1,10,2,10,5548.031892,0,78,69,3
288,401,50,1,40,2,20,5097.526248,0,25,136,3
289,404,40,1,10,3,20,29091.23936,0,22,244,1
290,405,30,3,10,3,20,19834.20115,1,43,123,1
291,406,20,3,10,1,10,4731.366975,0,45,61,1
292,408,10,3,10,3,20,34611.37896,0,59,109,3
293,410,20,5,10,3,10,13976.51925,0,29,176,2
294,411,30,5,10,3,20,5904.088162,0,80,73,2
295,412,20,2,10,3,20,5595.835041,0,97,69,3
296,416,50,1,10,3,10,5285.118669,1,43,67,3
297,418,40,5,40,3,10,7126.596501,0,63,183,3
298,419,20,2,10,3,10,4601.634099,0,38,114,3
299,421,20,5,10,3,20,14808.05624,1,80,62,3
300,423,20,5,10,3,20,5734.598243,0,61,71,1
301,425,30,1,10,3,10,27776.28906,0,63,230,1
302,426,10,2,10,3,20,10364.34749,0,5,129,2
303,427,20,2,10,3,10,7851.901368,0,1,66,2
304,429,20,3,10,3,10,14226.50485,0,90,177,3
305,431,50,5,10,1,20,2794.907476,0,43,72,3
306,432,30,5,10,3,10,4362.931238,0,74,110,3
307,433,20,2,10,1,20,9624.524417,2,70,124,3
308,434,50,1,10,1,20,5015.009472,0,15,130,3
309,436,50,5,10,2,20,2896.918767,1,6,74,3
310,437,20,1,10,3,20,21903.91364,0,75,79,1
311,438,40,3,10,3,10,9028.821403,0,43,113,1
312,440,50,5,40,3,10,4165.354461,1,22,113,3
313,444,10,5,10,1,20,9877.295699,4,40,131,1
314,445,30,1,30,2,20,4815.009736,0,80,64,3
315,447,30,3,10,3,10,8260.639809,0,2,105,3
316,449,50,1,10,1,10,4502.679656,0,69,114,1
317,450,20,1,40,3,20,3803.921781,0,6,100,3
318,451,20,1,40,3,10,8635.4035,0,93,117,3
319,453,40,2,10,1,10,3585.884123,0,68,91,1
320,454,40,5,10,2,10,4889.25278,0,57,63,3
321,455,20,1,40,2,10,2756.941661,0,34,74,3
322,457,30,1,10,3,20,10937.1785,0,35,138,3
323,458,30,3,10,1,10,7375.567916,0,52,65,3
324,459,30,1,40,3,20,10110.77818,0,37,90,2
325,460,20,3,10,2,20,5119.414293,1,47,65,2
326,461,30,5,30,3,20,8533.832013,1,15,113,3
327,463,10,4,10,3,10,8042.803784,0,53,100,2
328,464,20,5,40,3,10,2554.437138,0,41,70,3
329,465,20,1,10,3,10,18073.93999,1,32,76,3
330,466,30,1,10,3,10,2430.506586,0,70,61,2
331,468,10,1,10,3,20,5465.603983,0,8,68,1
332,469,30,5,10,2,10,10357.51422,0,67,131,1
333,470,30,3,10,3,10,2537.813878,2,36,65,1
334,471,10,5,10,3,20,2821.947219,0,22,70,1
335,475,20,1,10,3,20,14158.61364,0,33,70,3
336,477,10,5,10,3,10,6285.476868,0,36,80,1
337,478,20,3,10,3,20,11473.48149,0,64,95,2
338,480,20,1,10,3,10,23594.6802,0,3,66,1
339,481,50,3,10,1,20,2514.59196,0,58,65,1
340,482,10,5,10,3,20,5380.898636,0,13,67,3
341,483,30,5,40,1,20,4770.550911,0,37,65,3
342,484,10,2,10,3,20,6756.651404,2,27,86,2
343,486,10,1,10,3,20,3570.760509,0,20,88,3
344,488,20,3,10,3,10,5426.863953,0,21,69,3
345,489,20,2,10,3,20,2730.313804,0,83,68,1
346,490,30,3,10,3,20,4982.681374,0,88,62,3
347,491,20,5,10,1,20,8769.266756,0,51,74,3
348,492,40,3,10,1,10,4220.613534,0,87,110,3
349,494,30,2,10,3,20,5887.182043,0,57,73,1
350,495,30,5,10,3,20,4700.583771,0,23,117,3
351,496,20,3,10,2,10,10963.95723,0,91,276,3
352,498,40,4,10,1,10,3757.804716,1,61,96,3
353,499,20,3,10,3,10,12941.73353,0,90,106,2
354,500,40,1,10,1,20,3764.465074,0,48,94,3
355,503,10,5,10,3,10,7582.113842,0,19,64,2
356,504,20,5,10,3,20,8277.74558,0,90,103,3
357,505,30,3,40,3,10,2576.455597,0,70,66,3
358,506,20,5,10,3,20,8205.387936,2,79,102,1
359,507,20,4,40,3,20,19582.46887,0,93,72,3
360,508,40,1,10,3,20,6481.526576,0,51,81,3
361,509,20,3,10,3,10,2599.310879,0,18,66,3
362,510,20,5,10,2,20,9830.337629,0,59,253,3
363,511,20,1,40,3,10,10442.65139,0,31,139,3
364,512,20,5,10,1,10,36057.53702,3,86,137,1
365,516,10,1,30,3,20,3087.999917,0,23,80,3
366,517,10,1,10,3,10,4443.736209,0,93,113,1
367,519,20,5,10,3,20,7180.971028,0,66,180,3
368,520,30,1,10,1,20,15656.03434,0,50,130,2
369,521,20,3,10,1,10,5780.182197,0,0,74,3
370,525,10,3,10,1,20,5116.624022,1,10,68,3
371,526,20,1,10,1,10,7268.736958,0,15,63,3
372,527,20,5,10,2,10,2616.613903,0,27,66,3
373,529,30,2,10,3,20,2725.356404,1,70,69,1
374,530,10,5,10,3,10,5453.861203,0,15,68,2
375,532,20,2,10,3,10,6172.914199,0,83,76,3
376,534,40,1,10,3,20,6997.008618,0,19,88,2
377,535,10,3,40,2,20,4196.257691,0,71,111,3
378,536,20,3,10,2,20,7858.109763,2,23,104,1
379,539,20,4,40,3,10,8970.647312,0,1,118,2
380,540,20,2,10,3,20,5923.117229,0,79,73,1
381,541,20,3,30,1,10,35850.59935,0,92,192,3
382,542,50,3,10,3,20,4331.460674,0,92,106,3
383,544,30,3,10,3,10,4528.50489,0,56,113,3
384,546,50,5,10,3,10,8092.87696,0,46,102,2
385,547,10,5,10,3,10,7996.00748,0,85,99,3
386,548,10,1,10,3,10,5129.738992,2,51,65,3
387,549,30,1,10,3,20,5697.175238,0,85,72,3
388,550,20,5,10,3,20,9217.130629,0,31,115,3
389,551,20,5,10,3,20,10208.92761,0,59,129,3
390,552,20,2,10,1,20,4170.687348,1,23,107,3
391,553,20,5,10,2,20,4505.405812,1,45,115,1
392,555,10,3,40,3,10,5528.664986,0,58,73,3
393,556,30,3,10,3,10,5045.866663,1,41,64,3
394,557,30,3,40,3,10,2962.722482,3,75,85,3
395,558,30,2,10,3,20,8665.956372,0,66,108,1
396,560,30,1,10,1,10,15488.43196,3,52,109,3
397,562,20,1,10,2,20,5934.741492,1,87,147,1
398,563,40,5,10,3,10,3543.232138,0,7,90,3
399,564,30,2,10,2,10,3490.028304,0,39,87,1
400,566,30,5,10,1,10,5989.773931,0,24,154,3
401,568,20,1,10,3,20,8609.158215,0,74,107,2
402,569,20,1,10,3,10,2497.45507,0,44,64,1
403,571,20,5,10,3,20,5387.926265,0,16,67,3
404,573,30,1,10,3,10,2730.20294,0,68,69,1
405,575,20,3,10,3,20,7937.064822,0,40,67,3
406,576,20,3,10,2,20,8608.157233,2,80,110,3
407,577,20,1,10,3,10,2632.545795,0,78,65,3
408,578,20,1,10,3,20,7785.004214,1,46,99,3
409,579,50,3,10,3,20,8255.76385,0,88,103,1
410,580,20,2,10,3,20,4980.825042,0,27,62,2
411,582,50,1,10,3,20,12302.76244,1,12,62,2
412,583,30,3,10,3,20,6862.508337,3,72,88,1
413,585,30,1,10,2,10,5548.031892,0,78,69,3
414,587,30,1,10,3,10,2389.980951,1,18,62,3
415,589,40,3,10,2,10,5295.741716,0,98,135,2
416,592,30,2,10,1,20,2778.903705,1,46,70,1
417,595,40,4,10,2,10,2491.317024,0,77,62,1
418,596,20,5,10,3,20,2908.875917,0,51,73,2
419,597,10,5,10,3,20,4282.947971,1,70,109,1
420,599,10,2,10,2,20,5090.781344,0,90,63,1
421,600,20,1,10,2,10,7366.1883,0,4,62,1
422,601,20,5,10,3,20,2436.875126,0,9,61,1
423,602,30,1,10,3,10,8852.688689,0,14,74,2
424,604,20,4,10,3,20,5600.496541,0,67,69,3
425,607,30,5,10,3,10,14696.63549,0,73,125,3
426,608,50,3,40,1,10,12298.6863,0,88,113,3
427,609,30,1,10,3,20,7724.840065,1,40,193,3
428,610,20,2,10,2,10,5946.670679,0,69,74,3
429,611,20,2,10,3,20,8000.545061,1,19,100,1
430,612,10,1,10,3,10,6457.560953,0,9,81,1
431,614,30,3,10,3,10,2592.437797,0,23,65,3
432,615,40,2,10,3,10,4678.423394,0,35,116,2
433,616,20,5,10,3,10,13869.92705,0,59,118,3
434,617,40,2,10,3,20,8717.777831,0,72,108,2
435,618,30,5,10,3,20,5233.986808,0,14,65,3
436,620,20,5,10,3,20,2472.469209,0,81,62,2
437,621,50,3,10,1,10,5608.316348,0,90,72,3
438,622,30,5,10,3,20,5505.057003,0,10,68,2
439,623,20,1,10,3,20,2606.208503,0,56,66,3
440,624,10,3,10,3,20,10481.94383,0,98,88,1
441,626,30,5,10,1,20,30475.78048,0,38,128,1
442,627,40,3,10,1,10,6364.902164,2,31,84,3
443,629,20,5,40,3,20,5631.451866,0,25,73,3
444,631,30,5,10,3,10,9816.528302,0,7,62,1
445,632,20,3,10,2,10,7519.133631,1,17,95,1
446,634,30,5,10,3,20,2772.839235,1,97,71,1
447,635,20,5,10,3,10,4037.501846,2,7,103,1
448,636,50,3,10,3,20,21435.87782,3,54,188,3
449,637,20,3,10,3,20,2676.867914,0,91,67,3
450,638,30,5,40,3,10,2523.959554,0,85,68,3
451,639,30,5,10,3,20,6988.401604,0,21,89,3
452,640,50,1,10,3,20,2695.963857,0,30,68,3
453,641,10,2,10,3,10,2673.319593,0,10,67,3
454,642,10,3,10,1,10,12157.32992,0,28,103,3
455,643,30,4,10,2,20,2957.764017,0,42,73,2
456,644,50,3,10,2,10,7433.820995,0,79,63,2
457,646,20,1,10,2,10,8415.684559,0,74,107,3
458,647,20,5,10,3,20,26843.12452,0,10,97,1
459,648,20,1,10,3,10,13057.17071,1,4,112,3
460,650,20,1,10,1,10,8535.108918,0,40,111,1
461,651,10,1,10,2,20,8293.481886,0,65,69,2
462,653,20,1,10,3,20,6636.859781,1,26,83,1
463,656,50,2,40,3,20,12427.39371,0,99,107,2
464,657,50,5,10,3,20,10990.59477,0,42,137,1
465,658,20,1,10,3,20,3435.25008,0,18,86,1
466,660,30,2,10,2,10,5757.442258,0,71,72,1
467,661,50,5,10,3,20,2691.568951,0,63,67,2
468,664,10,3,10,3,20,4160.018087,0,5,103,1
469,665,30,5,10,3,20,2846.24535,0,11,72,3
470,667,20,1,10,3,10,5059.616223,0,52,64,2
471,669,30,3,10,3,20,2688.863963,1,88,68,3
472,670,30,1,10,3,20,8277.637562,0,58,68,3
473,671,20,5,10,3,20,9057.935331,0,37,112,2
474,672,30,3,10,3,20,3801.750407,0,90,95,3
475,673,10,3,10,3,10,9339.341599,3,6,118,3
476,676,20,1,10,3,20,2595.747991,0,34,65,1
477,677,20,3,10,3,10,7437.693335,0,26,92,3
478,678,20,1,10,2,10,14536.78759,2,0,66,3
479,679,40,1,10,1,10,5913.305869,0,7,76,3
480,680,10,5,10,3,10,2771.663013,4,82,74,3
481,681,10,2,10,1,10,29194.36639,0,11,126,2
482,682,20,2,10,3,20,9880.38582,1,73,125,1
483,683,30,3,40,3,20,15114.40241,1,22,100,3
484,684,20,1,10,3,10,5759.91084,0,76,72,1
485,685,20,3,10,2,20,8495.164213,3,71,110,3
486,686,30,1,10,3,20,4381.184212,0,46,112,3
487,687,10,5,10,3,20,6997.827397,0,10,87,3
488,688,20,1,10,3,10,11430.58845,0,62,71,1
489,689,20,1,10,3,20,7482.486135,1,0,94,2
490,690,10,2,10,3,20,8596.916624,0,20,71,1
491,691,10,5,10,3,10,7854.960831,1,32,66,3
492,692,20,1,10,3,20,2582.408525,0,68,64,2
493,694,30,1,10,1,20,4118.588554,0,79,103,3
