,Customer,Income,Marital Status
66,FL82372,22547.0,Divorced
67,DP45816,61486.0,Married
68,GW33762,0.0,Divorced
69,RZ33670,29879.0,Married
70,PY70169,93011.0,Divorced
71,MO91628,65186.0,Married
72,HW87852,26840.0,Married
73,HB20453,0.0,Single
74,BN87372,75644.0,Divorced
75,YX23800,38984.0,Married
76,DZ87709,71811.0,Single
77,XW13033,20961.0,Married
78,LN31673,38923.0,Married
79,OM82309,61321.0,Single
80,ZU35962,0.0,Single
81,VH85817,51066.0,Single
82,DT85712,34378.0,Married
83,YJ88573,43072.0,Married
84,SQ19467,25222.0,Single
85,HF88410,36765.0,Married
86,ET79815,23091.0,Married
87,QC35222,48269.0,Married
88,CJ15590,32720.0,Divorced
89,OI48267,20396.0,Married
90,JY67916,21513.0,Married
91,OE75231,72540.0,Married
92,CZ33664,80744.0,Married
93,WK30175,52822.0,Married
94,ON44465,0.0,Single
95,TV87155,69738.0,Married
96,KH48895,17780.0,Married
97,NZ30757,18107.0,Married
98,RI22468,57740.0,Married
99,FZ30935,32627.0,Married
100,UG93476,0.0,Married
101,AB96670,0.0,Single
102,XK64261,65795.0,Single
103,EV68375,60475.0,Married
104,UN51653,0.0,Single
105,TO96662,41837.0,Married
106,MR52087,32303.0,Married
107,DE75225,0.0,Married
108,EP80820,40531.0,Married
109,GU99037,79898.0,Married
110,WI57118,56398.0,Married
111,YQ74870,35257.0,Divorced
112,MQ14219,27804.0,Married
113,KN20603,45506.0,Single
114,CR48975,65196.0,Married
115,JI70886,0.0,Married
116,VF72557,20993.0,Divorced
117,OX28638,37839.0,Married
118,SK55033,92711.0,Single
119,OO88645,74665.0,Married
120,YT36855,0.0,Married
121,CW82151,46833.0,Married
122,DY22043,88768.0,Married
123,SH36774,28262.0,Single
124,EM43724,33555.0,Married
125,FH85960,42780.0,Divorced
126,XA55993,58850.0,Single
127,GO36627,21880.0,Married
128,QH48047,25251.0,Divorced
129,RB50392,0.0,Married
130,UH65059,24188.0,Married
131,FV21968,41611.0,Married
132,QA87025,28406.0,Married
133,TQ13499,69833.0,Married
134,BU44523,0.0,Single
135,MS41162,0.0,Single
136,PU25891,80536.0,Married
137,RB81636,0.0,Single
138,SX26335,97732.0,Married
139,AZ95587,61222.0,Single
140,DS81757,0.0,Single
141,OJ94107,50335.0,Married
142,LP84436,0.0,Single
143,YV64727,63221.0,Married
144,LM19287,0.0,Married
145,ZU18643,64495.0,Married
146,AZ82578,0.0,Married
147,XC67861,28859.0,Divorced
148,YC43143,77330.0,Married
149,EK59571,0.0,Married
150,GD83998,24495.0,Single
151,WA25797,95697.0,Married
152,PD27940,26372.0,Married
153,BS77946,17514.0,Married
154,YM50253,89270.0,Single
155,NR15332,29757.0,Married
156,RC62865,51814.0,Single
157,CC15295,24028.0,Married
158,KA61892,28142.0,Married
159,OS94884,52705.0,Married
160,ND87334,0.0,Married
161,ML93326,84903.0,Married
162,YL74911,0.0,Divorced
163,JP69864,24910.0,Single
164,HL53154,0.0,Single
165,RI78966,21876.0,Married
166,IC13702,0.0,Single
167,BE10809,0.0,Single
168,HT87217,70699.0,Divorced
169,TH95618,0.0,Married
170,TS19868,27501.0,Married
171,LP45550,15897.0,Divorced
172,QR87004,25141.0,Divorced
173,OE75747,0.0,Married
174,DX91392,51066.0,Single
175,AB72731,28358.0,Married
176,RU49126,61846.0,Married
177,IS12901,90972.0,Married
178,IX37561,0.0,Single
179,HH90090,29549.0,Divorced
180,IU25463,0.0,Married
181,KC11055,39411.0,Married
182,PD33979,21709.0,Married
183,NK71023,67890.0,Single
184,AB13432,0.0,Single
185,OZ97704,84311.0,Single
186,UF46533,99316.0,Single
187,XP47431,54507.0,Married
188,GK73582,64586.0,Single
189,RV98763,61709.0,Married
190,II62831,94656.0,Married
191,XK33449,0.0,Single
192,TR85083,61085.0,Married
193,EO95328,89284.0,Married
194,EN21086,0.0,Divorced
195,YL83902,31686.0,Married
196,AZ62651,56855.0,Single
197,ZW25874,53703.0,Single
198,EH41854,0.0,Single
199,MW70227,20396.0,Married
200,SL22297,27679.0,Single
201,RV14138,23904.0,Single
202,UO62808,65351.0,Married
203,ZX64745,0.0,Single
204,FL34139,0.0,Single
205,TS11219,0.0,Single
206,XX12304,64459.0,Married
207,SD64087,32961.0,Married
208,OY38576,71416.0,Divorced
209,BG76355,68964.0,Married
210,IP66913,78108.0,Single
211,LE95702,10621.0,Single
212,KX54357,84910.0,Married
213,EZ78112,77493.0,Single
214,XN16891,81097.0,Divorced
215,XK31350,96610.0,Married
216,CC30924,30110.0,Married
217,IT78748,22081.0,Married
218,KY33386,0.0,Divorced
219,CO44221,98473.0,Married
220,LK60013,97431.0,Married
221,DE21533,93870.0,Divorced
222,YS94121,50366.0,Divorced
223,UK68427,34498.0,Single
224,TE49565,16552.0,Married
225,RA88421,26787.0,Married
226,KQ51983,0.0,Single
227,CD88896,43860.0,Single
228,YV22553,21474.0,Married
229,WU14435,18174.0,Married
230,XV84099,0.0,Married
231,RI24911,60920.0,Single
232,KO26461,41520.0,Married
233,HI14283,0.0,Married
234,PT50227,0.0,Married
235,BH36570,72208.0,Married
236,TX17484,53863.0,Married
237,CT41158,66446.0,Divorced
238,AO87348,0.0,Single
239,DE55857,64997.0,Single
240,LF66923,64460.0,Married
241,CN24514,46618.0,Married
242,UW32074,0.0,Divorced
243,HP36979,49988.0,Married
244,PP40919,0.0,Single
245,RO73268,16269.0,Divorced
246,HO61691,72006.0,Divorced
247,BS13062,0.0,Married
248,FO35655,0.0,Single
249,HR10526,44320.0,Married
250,IA63417,19782.0,Divorced
251,BH35016,63933.0,Divorced
252,PK52952,28224.0,Single
253,OD76309,21073.0,Divorced
254,IL28481,63243.0,Married
255,GY55092,20993.0,Divorced
256,UF33451,94827.0,Married
257,CF15558,39161.0,Married
258,JM62924,37534.0,Married
259,EM66435,80210.0,Divorced
260,QX45933,0.0,Married
261,JI71369,30110.0,Married
262,JU93290,21708.0,Divorced
263,GU66096,94731.0,Married
264,UC33108,32375.0,Married
265,LW93867,16531.0,Married
266,OU78470,32006.0,Single
267,XW90265,81676.0,Married
268,HS67749,71038.0,Married
269,VZ51506,0.0,Single
270,UI64281,20832.0,Married
271,AE98193,0.0,Single
272,AZ74055,52405.0,Married
273,XS76911,0.0,Married
274,AY40674,26583.0,Married
275,NA12740,25486.0,Married
276,UA84837,24065.0,Divorced
277,DJ51510,70435.0,Married
278,VM58985,0.0,Single
279,OH60605,39679.0,Married
280,UO98052,0.0,Single
281,NC53424,0.0,Married
282,LQ13873,53565.0,Married
283,LA97014,37574.0,Married
284,NB79936,48259.0,Single
285,NT89061,78532.0,Married
286,AF10970,96163.0,Married
287,ZG48513,0.0,Single
288,JQ59145,0.0,Married
289,FE84989,72672.0,Married
290,JT52858,99002.0,Married
291,MC62068,79494.0,Married
292,EU27538,35704.0,Married
293,RH42306,0.0,Single
294,US23612,26049.0,Married
295,WV76014,70125.0,Single
296,RK96223,52369.0,Married
297,MF82000,0.0,Married
298,FM46980,41770.0,Married
299,SY56792,0.0,Divorced
300,RF61565,31911.0,Married
301,IM94808,70051.0,Married
302,VI14730,19683.0,Married
303,YR34119,30916.0,Married
304,RR77985,0.0,Single
305,VC22097,0.0,Divorced
306,WV17090,0.0,Married
307,TM23514,60145.0,Single
308,MQ68407,63774.0,Divorced
309,GJ59592,25134.0,Married
310,FY56083,37057.0,Married
311,UA94723,58577.0,Married
312,FW91032,85857.0,Married
313,DE34457,70602.0,Married
314,HD32044,33816.0,Divorced
315,HH30454,0.0,Single
316,AH84063,89642.0,Married
317,QA17596,60068.0,Married
318,XI41052,50044.0,Single
319,DI30528,36650.0,Married
320,SC66359,50653.0,Married
321,EN61670,68931.0,Married
322,DQ10761,0.0,Single
323,BQ51587,0.0,Single
324,JE21522,39266.0,Married
325,WS47147,0.0,Married
326,ZA64638,0.0,Single
327,EW38459,40864.0,Married
328,QW87316,39035.0,Divorced
329,IC43478,34923.0,Single
330,TE34064,0.0,Single
331,WU60905,0.0,Married
332,YM18992,24506.0,Divorced
333,PD55753,0.0,Married
334,KU56006,52220.0,Married
335,MJ69973,0.0,Married
336,TW43626,53554.0,Married
337,XX84133,34476.0,Married
338,ZW84453,0.0,Married
339,HO29524,68205.0,Married
340,VE89726,0.0,Single
341,GE87503,53690.0,Married
342,PX90263,0.0,Single
343,NI17718,0.0,Single
344,FY32213,74454.0,Single
345,RZ13254,0.0,Single
346,GN45013,29664.0,Married
347,UB16654,15680.0,Divorced
348,KU84464,47272.0,Married
349,YH43527,21585.0,Married
350,RO30676,23827.0,Married
351,QL59704,69906.0,Married
352,QH19450,0.0,Single
353,HR85211,89879.0,Married
354,UV54502,0.0,Married
355,WB38524,46131.0,Married
356,CE56187,54514.0,Divorced
357,JL19416,0.0,Single
358,JZ61422,96668.0,Single
359,LA13377,78879.0,Married
360,NC99948,0.0,Single
361,QD34785,0.0,Married
362,RO26085,0.0,Single
363,ES57969,29735.0,Single
364,JK55587,23082.0,Married
365,RN97635,53984.0,Divorced
366,BI76326,52135.0,Single
367,JA34909,17576.0,Married
368,OJ90342,29486.0,Married
369,CM88932,58557.0,Married
370,JJ97525,25632.0,Married
371,XV21647,0.0,Single
372,MC83487,18768.0,Single
373,BL90769,33190.0,Divorced
374,CR57148,47945.0,Married
375,CP85232,58778.0,Married
376,YL74732,15192.0,Married
377,FG16766,51859.0,Married
378,NV55438,23422.0,Single
379,RM10880,21604.0,Divorced
380,GL56175,79298.0,Married
381,UK52289,76731.0,Married
382,LL45497,67282.0,Married
383,BC62782,48534.0,Married
384,YM57893,77678.0,Married
385,JP30654,48412.0,Single
386,RA66180,33837.0,Married
387,EN60878,23712.0,Single
388,JF36291,28142.0,Married
389,BK59444,72196.0,Single
390,MK70700,68197.0,Married
391,IW71076,75248.0,Married
392,AP98768,0.0,Single
393,OM24164,0.0,Single
394,QP84605,41546.0,Divorced
395,VC87846,46998.0,Divorced
396,ZM92052,57099.0,Single
397,ON73702,33897.0,Married
398,QQ90441,59207.0,Single
399,HU35721,40171.0,Divorced
400,XH85336,67798.0,Divorced
401,ZH17561,21665.0,Divorced
402,AG85615,0.0,Single
403,OY74069,0.0,Single
404,DJ91267,34226.0,Married
405,KB72438,65989.0,Married
406,TR67616,30686.0,Single
407,GF65731,0.0,Married
408,HB67642,20090.0,Married
409,DP84567,0.0,Married
410,VV77534,77094.0,Married
411,GL67540,97413.0,Married
412,SV50502,79189.0,Married
413,UK59698,0.0,Divorced
414,OA57352,18577.0,Divorced
415,ZF84449,0.0,Single
416,VH31965,40783.0,Married
417,HG39060,0.0,Single
418,EM29359,17483.0,Married
419,SF57173,84394.0,Married
420,OT47603,0.0,Married
421,SW31412,41440.0,Married
422,JS36322,0.0,Single
423,RE81445,98132.0,Married
424,RM24280,0.0,Married
425,LC25393,88220.0,Married
426,UX38930,58327.0,Married
427,HD95496,25950.0,Married
428,RX24650,20993.0,Divorced
429,DW19309,65726.0,Married
430,EG48956,0.0,Married
431,UF88986,39783.0,Single
432,DB42794,58842.0,Married
433,JB50798,25629.0,Single
434,JY45873,48567.0,Single
435,TE35785,0.0,Married
436,CM55703,33746.0,Divorced
437,QN65180,22254.0,Married
438,GE47180,65974.0,Married
439,VQ38776,0.0,Single
440,ZY90118,17161.0,Married
441,IN17648,0.0,Single
442,DF95759,0.0,Married
443,QG45324,0.0,Married
444,MN61620,67752.0,Single
445,YH86390,25398.0,Divorced
446,FY13480,0.0,Single
447,YH61661,33321.0,Married
448,NL93182,0.0,Single
449,UM45563,68798.0,Single
450,WE68644,20325.0,Married
451,EZ30498,13129.0,Married
452,QY74517,0.0,Single
453,NM88660,49080.0,Single
454,MZ82036,42536.0,Divorced
455,ID20929,29926.0,Divorced
456,EY50028,0.0,Married
457,TT82373,21450.0,Married
458,OH64088,33345.0,Single
459,SK97780,15752.0,Married
460,IO33050,40169.0,Divorced
461,XA55917,26049.0,Married
462,JK32620,0.0,Single
463,RQ19236,55411.0,Married
464,QC47433,12459.0,Married
465,RA93608,64620.0,Married
466,XH97711,83140.0,Married
467,AU96286,0.0,Single
468,KC17170,54422.0,Married
469,ZN47335,68309.0,Divorced
470,EI46264,56621.0,Married
471,EK87864,38977.0,Married
472,GV45403,0.0,Divorced
473,QK31192,0.0,Married
474,LU89008,0.0,Single
475,NS10490,83235.0,Married
476,KL98495,0.0,Married
477,IU96845,32390.0,Married
478,QL93655,66538.0,Married
479,QZ42725,0.0,Single
480,LZ34046,76358.0,Married
481,ZH19885,43860.0,Single
482,YE88490,55350.0,Married
483,YC80498,12964.0,Single
484,AI85843,33288.0,Married
485,XD66024,0.0,Single
486,FY51713,56168.0,Married
487,PH26378,0.0,Single
488,WQ18638,23105.0,Married
489,KY14688,36218.0,Married
490,TC97762,52275.0,Married
491,QC87108,49665.0,Single
492,CX12134,32471.0,Single
493,SM73248,0.0,Single
494,CK19789,62773.0,Married
495,UV12583,76694.0,Married
496,JC11405,55687.0,Divorced
497,KA89683,0.0,Single
498,BG85305,36633.0,Single
499,UQ87917,77060.0,Married
500,XN11823,92600.0,Single
501,OS46571,0.0,Single
502,PX17116,0.0,Single
503,RP19541,64801.0,Married
504,ZR25747,45257.0,Married
505,NQ86532,26854.0,Married
506,JY27336,85840.0,Married
507,PB54378,26463.0,Married
508,SV38190,30689.0,Married
509,CV24005,29590.0,Married
510,EX28656,25965.0,Divorced
511,CF57022,17269.0,Married
512,GM16780,90330.0,Single
513,BX94438,0.0,Married
514,RM41745,0.0,Married
515,XR70252,0.0,Married
516,YH92099,18558.0,Married
517,SG81493,46384.0,Married
518,ZX23819,0.0,Single
519,FJ54907,42303.0,Married
520,CU26127,71731.0,Single
521,YH60476,51066.0,Single
522,ZZ97035,0.0,Single
523,GE82737,0.0,Single
524,KY21873,0.0,Married
525,UA51318,26173.0,Single
526,BV55014,24445.0,Single
527,HX21307,72302.0,Divorced
528,LQ68252,27208.0,Single
529,CR92802,36650.0,Married
530,SL35268,30855.0,Married
531,RD62882,0.0,Divorced
532,JS42382,99960.0,Married
533,BT30554,0.0,Single
534,VP57424,55873.0,Married
535,VU19243,18052.0,Divorced
536,TA82973,28937.0,Divorced
537,GK71720,0.0,Single
538,OQ61223,0.0,Divorced
539,LL62746,12829.0,Married
540,JQ56711,92163.0,Married
541,AW77988,17588.0,Single
542,HF75891,82302.0,Married
543,MY97912,0.0,Divorced
544,IB87349,70340.0,Married
545,AW73065,0.0,Single
546,HI74419,50825.0,Married
547,PX70175,93459.0,Married
548,KF75098,86148.0,Married
549,IS50283,27048.0,Married
550,MY64920,73259.0,Married
551,KN34250,35482.0,Married
552,GN46207,29462.0,Single
553,KL57176,67801.0,Divorced
554,MN94234,0.0,Married
555,JY90595,16042.0,Married
556,HK26543,28056.0,Married
557,PN86062,16495.0,Married
558,VW27730,41163.0,Married
559,SH55671,0.0,Married
560,MO56878,33799.0,Single
561,QP80741,0.0,Married
562,SV35618,87747.0,Divorced
563,RX12347,35695.0,Married
564,FR55658,90985.0,Divorced
565,XS12556,0.0,Married
566,ZU73588,66839.0,Single
567,WT43034,0.0,Married
568,VM13430,79090.0,Married
569,TC78849,24825.0,Married
570,VC34764,26806.0,Married
571,WO90953,56835.0,Married
572,IU47468,0.0,Single
573,KO46064,46135.0,Married
574,RB34917,0.0,Single
575,BI38192,22862.0,Married
576,PU18983,21450.0,Divorced
577,SW79912,95854.0,Married
578,ES39217,44897.0,Married
579,OY51402,54040.0,Married
580,UA19178,53265.0,Married
581,PR53785,0.0,Married
582,RJ85627,43817.0,Married
583,CN90378,54780.0,Married
584,KI56154,0.0,Married
585,UI55951,67798.0,Divorced
586,FF28650,21442.0,Divorced
587,FS55302,27615.0,Married
588,TN79487,17622.0,Divorced
589,HG32616,50200.0,Divorced
590,UK41984,0.0,Divorced
591,LZ52266,0.0,Married
592,PM27367,73570.0,Single
593,ZK21724,0.0,Single
594,QV59143,0.0,Married
595,QE22757,36631.0,Divorced
596,ON77649,35895.0,Married
597,RN82884,40864.0,Married
598,CQ75652,0.0,Divorced
599,FF58467,93018.0,Divorced
600,BS83666,70014.0,Divorced
601,WO29605,48875.0,Married
602,TL77607,67969.0,Married
603,EZ50606,0.0,Married
604,OS39723,68665.0,Married
605,FN69743,26802.0,Married
606,XW96958,0.0,Single
607,TU92578,45345.0,Married
608,IJ50779,17101.0,Single
609,YE68736,32051.0,Married
610,OB96537,81139.0,Divorced
611,EU68825,63834.0,Married
612,CC31456,37548.0,Married
613,DJ77787,0.0,Married
614,LN26837,72421.0,Married
615,YI92916,83102.0,Married
616,NW54906,28432.0,Married
617,ME77513,83707.0,Married
618,UK76891,63259.0,Married
619,SI26888,0.0,Single
620,YD74948,63860.0,Married
621,CA86085,67176.0,Single
622,BW52697,86132.0,Married
623,NL41409,28519.0,Married
624,OD69005,39102.0,Married
625,ZZ91716,0.0,Married
626,UK70255,97298.0,Single
627,QT25383,41986.0,Single
628,AW18068,0.0,Single
629,NS45347,17291.0,Married
630,FV19421,0.0,Married
631,XW89091,37256.0,Married
632,YC11951,96306.0,Divorced
633,UY18770,14290.0,Married
634,RA49085,37038.0,Married
635,BG84194,90760.0,Married
636,GM62071,20668.0,Married
637,MR67738,54480.0,Married
638,DM95829,16244.0,Married
639,DB75522,22436.0,Married
640,RZ27571,25544.0,Married
641,WW30771,28728.0,Married
642,QP65569,57449.0,Single
643,TN50051,83318.0,Divorced
644,GT62080,55561.0,Divorced
645,JA41698,0.0,Single
646,NX18774,55308.0,Divorced
647,DA69469,36068.0,Married
648,CN23147,48804.0,Married
649,RA68844,0.0,Single
650,GH42026,55790.0,Single
651,BD16530,70258.0,Divorced
652,JH91579,0.0,Divorced
653,WK23685,47274.0,Married
654,ZJ18419,0.0,Married
655,PI78084,0.0,Single
656,ZF40671,15818.0,Married
657,UG34438,44552.0,Married
658,UK25655,64348.0,Married
659,QR45101,0.0,Married
660,EL93539,88997.0,Divorced
661,DG80424,77411.0,Married
662,DP46882,10312.0,Married
663,WP41146,0.0,Married
664,TK60799,96263.0,Married
665,DN29808,28919.0,Married
666,SS59521,0.0,Married
667,NG66579,41869.0,Married
668,TC14209,0.0,Single
669,ED50963,32808.0,Married
670,GP40701,79780.0,Married
671,CP98451,91025.0,Married
672,NX52648,33043.0,Married
673,ZC32510,69442.0,Married
674,NG27780,0.0,Married
675,HN95240,0.0,Divorced
676,EB59129,47234.0,Married
677,RA70851,86863.0,Married
678,PM19162,25805.0,Divorced
679,MS59005,43676.0,Single
680,SU71163,59855.0,Married
681,BD35676,35296.0,Single
682,NI44621,36576.0,Married
683,EW33419,28513.0,Married
684,HX44948,85448.0,Married
685,DL36983,23791.0,Divorced
686,XR87264,20597.0,Married
687,NN99001,56940.0,Married
688,XV95530,93210.0,Married
689,OL97871,48992.0,Married
690,HQ23708,53736.0,Married
691,WR63188,25378.0,Married
692,NG82219,76731.0,Married
693,GB33195,0.0,Single
694,RE46783,69379.0,Single
695,RU94434,57449.0,Single
696,GI82355,0.0,Married
697,VO26340,0.0,Single
698,NV61299,33806.0,Divorced
699,PT64580,77048.0,Married
700,CY50337,74965.0,Married
701,TJ20375,34095.0,Married
702,EP72155,0.0,Divorced
703,JJ76159,96045.0,Divorced
704,BG15419,86355.0,Married
705,AO74776,27824.0,Married
706,HQ82233,42995.0,Married
707,OL72737,21235.0,Married
708,ZQ59828,74585.0,Married
709,NZ15548,41833.0,Married
710,XK61304,23908.0,Married
711,EJ44139,0.0,Married
712,CM94425,61953.0,Divorced
713,OV54878,0.0,Single
714,JF57282,0.0,Married
715,MY37953,73760.0,Married
716,XP64922,23333.0,Married
717,WL65572,0.0,Single
718,LN50325,20440.0,Married
719,MP53505,86073.0,Married
720,KH59823,50943.0,Divorced
721,YM79169,19003.0,Married
722,DR38127,46703.0,Single
723,PU42145,14072.0,Divorced
724,KM33477,21733.0,Single
725,RI53167,20811.0,Married
726,OF77789,11904.0,Single
727,YB33445,43490.0,Married
728,BA17836,57340.0,Single
729,JS43228,49088.0,Married
730,BB11622,47761.0,Married
731,UG79499,70930.0,Divorced
732,WK88044,61281.0,Married
733,LA80525,0.0,Divorced
734,EH16250,25290.0,Single
735,PU41872,24239.0,Married
736,HB85743,82664.0,Married
737,MM71959,83210.0,Divorced
738,MB83663,38736.0,Divorced
739,KR43119,0.0,Single
740,KH24214,55437.0,Married
741,HD95276,0.0,Married
742,HP55391,0.0,Married
743,EG62398,29066.0,Married
744,VS19949,54337.0,Married
745,AM92343,67616.0,Married
746,GI68556,41082.0,Married
747,JT11876,0.0,Single
748,XR64251,36650.0,Married
749,MK34957,50631.0,Married
750,GP18756,19592.0,Divorced
751,AP23850,0.0,Married
752,KQ65521,55761.0,Divorced
753,EJ19449,17576.0,Married
754,QB70027,41449.0,Married
755,QW47320,14290.0,Married
756,KH64733,62007.0,Married
757,ON59472,21921.0,Married
758,HP94242,42621.0,Married
759,RV15398,0.0,Divorced
760,EA25683,63786.0,Single
761,PW73754,0.0,Married
762,MC71942,82877.0,Married
763,OX72195,0.0,Single
764,YQ99152,10475.0,Married
765,KI19439,21952.0,Married
766,PM76175,49721.0,Married
767,US45383,88340.0,Married
768,GT38956,0.0,Married
769,SN41301,0.0,Single
770,BE62503,24589.0,Married
771,PA16884,69379.0,Single
772,NC58480,73769.0,Married
773,NS39326,66670.0,Married
774,PN18507,88854.0,Single
775,EK91340,31266.0,Married
776,JY16280,43860.0,Single
777,ZW71731,89284.0,Divorced
778,ZC24631,67267.0,Single
779,YR34689,79270.0,Married
780,RT65829,36692.0,Married
781,BZ12077,0.0,Divorced
782,WM65373,0.0,Married
783,NH35059,0.0,Married
784,QD38160,0.0,Single
785,BM15160,44624.0,Married
786,VY79030,0.0,Single
787,EV19512,19614.0,Married
788,TE13577,0.0,Single
789,WY97929,83846.0,Married
790,YG20683,51159.0,Married
791,FK75497,83772.0,Divorced
792,NE60110,66839.0,Single
793,TN36521,88440.0,Single
794,HG33568,25666.0,Married
795,TW17878,52926.0,Married
796,ZO83562,0.0,Single
797,CH97539,40001.0,Divorced
798,CV29889,0.0,Single
799,MO33320,18024.0,Single
800,QZ81258,0.0,Single
801,NY56352,23220.0,Married
802,EA27048,64125.0,Married
803,UT38865,58042.0,Married
804,QC89139,90034.0,Married
805,LA14484,27972.0,Married
806,HN57556,0.0,Single
807,CV31235,50989.0,Married
808,WR45726,11885.0,Divorced
809,LB25094,89451.0,Single
810,KW56110,0.0,Single
811,XO36233,78904.0,Divorced
812,ZX86243,70247.0,Single
813,DW29763,32653.0,Married
814,CT83377,93595.0,Married
815,OQ90898,90279.0,Divorced
816,GO77248,0.0,Single
817,QW33258,53310.0,Divorced
818,OU79745,0.0,Divorced
819,VZ79886,22234.0,Divorced
820,FI92440,91375.0,Married
821,YG85980,22250.0,Married
822,QM74621,0.0,Single
823,EI71732,0.0,Married
824,VN79010,51179.0,Married
825,FI61723,38667.0,Single
826,OH55411,79487.0,Divorced
827,TF10720,67763.0,Married
828,NW30838,0.0,Single
829,CB58476,0.0,Single
830,WI69346,71943.0,Single
831,FS76657,53526.0,Married
832,YX89016,35005.0,Married
833,PK28821,24721.0,Married
834,MB51200,0.0,Single
835,XG44587,88997.0,Divorced
836,FG91922,48587.0,Married
837,OM99303,76310.0,Married
838,RV67546,73205.0,Married
839,UJ79253,51056.0,Married
840,PN98247,58414.0,Single
841,IB67546,23940.0,Married
842,OE19087,0.0,Single
843,CM95716,44216.0,Married
844,MW62634,27972.0,Married
845,QW67581,0.0,Married
846,SN16059,29305.0,Married
847,OE51254,53882.0,Married
848,RM42344,91757.0,Married
849,GB35238,33906.0,Married
850,ML82674,68158.0,Married
851,EI85244,0.0,Single
852,DE28132,42165.0,Single
853,TV25678,0.0,Single
854,TY26512,30817.0,Divorced
855,OB69153,68074.0,Married
856,AB31813,0.0,Married
857,XN41715,71135.0,Married
858,QR15857,0.0,Single
859,FL69363,37722.0,Single
860,IS30295,0.0,Divorced
861,GR62267,44705.0,Divorced
862,NL59519,64642.0,Married
863,ZU93025,50071.0,Single
864,DK94262,46754.0,Married
865,UQ30615,64801.0,Married
866,OR40060,70410.0,Married
867,DK32872,66957.0,Married
868,FA46418,24213.0,Single
869,ST96866,0.0,Married
870,KI75855,79751.0,Married
871,ND41876,86122.0,Married
872,PN21042,82297.0,Single
873,FF22360,82210.0,Married
874,AL46984,43259.0,Married
875,JP58047,0.0,Married
876,ZE85014,25064.0,Married
877,KU88219,25816.0,Single
878,UU98729,0.0,Married
879,WS82822,41662.0,Divorced
880,YB49933,96170.0,Married
881,XC16387,46072.0,Single
882,XJ96748,37931.0,Married
883,TM98684,35127.0,Married
884,NM39588,72450.0,Married
885,DM74502,93087.0,Married
886,FT56968,22398.0,Married
887,OX36896,92983.0,Married
888,BZ65376,27689.0,Married
889,LN34660,69654.0,Married
890,JC29295,80744.0,Married
891,KJ87930,0.0,Single
892,XT36360,0.0,Single
893,IX35050,76358.0,Married
894,UN97379,18608.0,Divorced
895,MR57294,73168.0,Married
896,LK74984,21190.0,Married
897,DX31066,94041.0,Married
898,GL20444,91474.0,Married
899,SP58110,61469.0,Married
900,XM91635,16618.0,Single
901,TV82603,48081.0,Married
902,BB82067,67632.0,Married
903,JP94676,34115.0,Married
904,VU53417,23051.0,Divorced
905,IW54795,23748.0,Married
906,RN78170,40589.0,Divorced
907,IX55883,50809.0,Single
908,XM72420,66676.0,Married
909,GC15104,52339.0,Divorced
910,RX13282,14973.0,Divorced
911,QA85890,0.0,Single
912,IR62668,31546.0,Divorced
913,AL96740,67763.0,Married
914,QC55306,83170.0,Married
915,VO78441,19464.0,Single
916,JH62891,66943.0,Married
917,FI20423,81872.0,Married
918,XF57481,50450.0,Single
919,YV67971,21342.0,Married
920,QD31377,34621.0,Married
